I'm kinda sleepy. might go and read #eclipse and then sleep.	eclipse	eclipse	Eclipse
well, f*#k. not looking good for iranian peeps.  damn it.	k	K	k
#pmqs is unsurprisingly rather rowdy this morning	pmqs	pmqs
Clobbered on thehead with 14" 2x4, ouch no good, may need stiches   #stupidaccident	stupidaccident	stupid accident
@flimgeeks  #PitchBlack Oh and Vin is so fucking hott...notice the double t!!!	PitchBlack	Pitch Black
#MilehighBrowncoats next year get a bigger goddamn venue- like Red Rocks- this is the 2nd year I've been sold out	MilehighBrowncoats	mile high brown coats
DiBruno's didn't have carrot cake and the Masonic Hall wasn't giving tours  #Philly	Philly	Philly
off for a long walk somewhere in #suffolk with hubby, pooch and camera. Fab! oooh and maybe a pint of the local	suffolk	Suffolk
I tried signing  up for #twee60 but the Beta is closed  time for bed!	twee60	twee 60
Woo!! I got me a Foxsat-HDR box today #freesat #HD	HD	HD
@CynthiaBuroughs Thank you for the #ff #bff (or is it #bbf?) Cynthia!	bbf	bbf
just changed my #netvibes wallpapers and can't get it back. Looks all wrong	netvibes	Netvibes
@VisitLancashire We've bought a touch of California to #lancaster and #morecambe with the Purple Pedals bikes...sadly the suns now gone	morecambe	morecambe	Morecambe
#ChubsUnite @HisRuin Mmmm tacos in general make me happy.  As long as they're in muh belleh. <3	ChubsUnite	chubs unite
@vanmaanen nice...!  and, where are we? is there a video stream or can i download a video of it later? #smartmobs #8yearslater	smartmobs	smart mobs
#buzzword loads up Pro fonts but cannot display Turkish glyphs.  and still complaining that it doesn't support Safari (onwin) and Chrome.	buzzword	buzz word
@vinoaj just got eclipse installd on my work machine. i have begun  jeng jeng jeng #ghacksg #gtugs #gtugkl	gtugkl	GTUG KL	gtugkl
@LucasMartell Thx 4 following!  After hearing you on #TWIM and seeing your podcasts, u r some what of a personal hero	TWIM	TWIM
/me nips over 2 the 7-Eleven for beer before the entire building's worker community jams the elevators from 5:31PM #beijingbeer by #asahi	asahi	asahi
New, #free #WP theme coming to Blogsessive.com next Monday! Stay tuned, you'll love it! PS: Not a blog-style theme  #WordPress	WP	WP
I want to go to #twtrcon  LOL!  Sounds fun, meeting all those people	twtrcon	twtrcon	Twtrcon
Just found out from my sister's #FB that my 5-y/o niece now has heart problems on top of her #TBI #epilepsy #cerebralpalsy  #sadhomo	epilepsy	epilepsy
#musicmonday Rise Against's excellent Revolutions Per Minute CD lifted the Monday funk on the way into work  #listeningto #punk	punk	punk
Bummed   going to miss another #tweetea , wondering how to be in two places at once	tweetea	tweetea
Have I caught the #chinatummy from @marcusnelson's tweets? not feeling so hot today	chinatummy	china tummy
This week's episode of The #Unusuals was entertaining its a shame the show was cancelled.	Unusuals	Unusuals	unusuals
Decided on having #Cornflakes for breakfast and sparing the #Marshmallows for making #Smores  at the next #bbq...	Smores	smores	Smores
My Chihuahua barks while she sleeps. I think she's dreaming of chasing bones.  She's doing it now. #chihuahua	chihuahua	Chihuahua
Take a look at the Webcam in El Campello. Still raining ...  ... #campello #alicante #costadelsol #spain http://tinyurl.com/btcdoh	campello	Campello
@jasdeep @sepiaverse have you come across songs of satinder sartaaj on youtube.. sounds good ...  #sufi	sufi	Sufi	sufi
Hey #uknowradio The chat doesn't work   (UKnowRadio live > http://ustre.am/26PZ)	uknowradio	uknowradio	uk now radio	UK now Radio
@pet2107 Both  #dualflirting #twoforonespecial	dualflirting	Dual flirting	dual flirting
Yes http://twtvite.com/k1nh0l #twtvite #unSDtweetup Why the heck not, I'll bring my camera	twtvite	twtvite
guten morgen/good morning #Twitterland.	Twitterland	Twitterland
@malcolmbastien The thing about #DIGG is that things from 5 years ago gets reposted as "new"	DIGG	DIGG
@MATT_369  shag is good. busy as always.  i was out and about most of the weekend, and watching #naruto	naruto	naruto	Naruto
@squidella Goodbye Corny McPhooey.  Can you still go on for free, though? and #quickanswertodelayedreply heeheehee psshhh	quickanswertodelayedreply	quick answer to delayed reply
trapped in a van with non-tweeters! They are ganging up on me #pleasesendhelp #now  http://myloc.me/4GXL	pleasesendhelp	please send help
At Busy Chef in Essex for breakfast while I still can. She's only open for another month   Great food, uses local! #btv #vt	vt	vt
@young_aliens tryin' 2 get 2 know planet twitter changes every minute; don't think 2 much on 1 thing  #hugs #friend	hugs	hugs
Anyone know of online English->Japanese Movie lookup? #Japan #Tokyo - I can never find the films I want to rent at the DVD store	Japan	Japan
Help a brother out of the dog house. Please wish @kateva a belated Happy B'day and maybe she'll forget that I forgot.   #help #ILoveYou	ILoveYou	I Love You
#bufest on sunday. apparently	bufest	BU Fest
So will you be #good or #evil? http://bit.ly/Qq3a9 I think I'm going to have to try both	good	good
@vautrin - thanks for the #womentofollow thing	womentofollow	women to follow
#Dubai how many Twitter users in Media City? Lets count. (usage: #dmctweetcount: number)  #dmctweetcount: 1	Dubai	Dubai
Good morning tweeps #imtz on this sunny saturday morning in Zagreb - not a cloud in the sky and the air is fresh after yesterdays rain	imtz	imtz
Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp	imgsearch	ImgSearch
Why does Lorraine's Irish accent come and go? Wannabe.  #Twitprentice #Apprentice	Apprentice	Apprentice	apprentice
two hours till our offer on the house expires  no word yet! Come on people, sell us your house!!!!!!!!!!! #Parker #Colorado	Parker	Parker
#HTPC is being jumpy playing blu-ray  I blame Vista. Might try it with xp mce one day.	HTPC	HTPC	htpc
bloody hell, #burnout is taking ages to download...	burnout	Burnout
Any Designers out there using #GoodBarry ? Looks pretty darn impressive http://ad.vu/dxfx Would love sum fdbk - DM me if you got sum 4me	GoodBarry	Good Barry
Installed my new barrel heat shield on my shotgun and it doesn't fit and I kinda bent it in the process  Good enuff for now. #bangbang	bangbang	bang bang
#TRUESTATEMENT I DON'T WANNA LOSE MY "BLACKIE"	TRUESTATEMENT	true statement
I'm really dissappointed that I couldn't make #bwb I'm really missing out	bwb	bwb
#twitpics Wonka & Randi make a day better though  http://tinyurl.com/m3a2mh	twitpics	twit pics	twitpics
#menvsboys men are cheaters, boys are the man when they cheat	menvsboys	men vs. boys	men vs boys
Morning all! V happy today after seein #girlsaloud last night, man u crowned champions and winning on my horse!	girlsaloud	girls aloud
@rmilana good for you and at least no bad news from her then   i'm great, just woke up not long ago. #hi5 #lo5 #side5 #throw5	hi5	hi 5	hi5
#NASCAR Things are looking better... for some #Kenseth is 2nd, #Kahne up to 11th, #Mears in 17th. And #Gordon... 29th.	Gordon	Gordon	gordon
I'm so blockup up here it is unreal #coldsucks	coldsucks	cold sucks
Getting ready to give my Drupal Introduction presentation #BarCampBham Everyone should attend	BarCampBham	BarCamp Bham	BarCampBham	Bar Camp Bham
@Brownoxford Yeah, that's a pain. I am just saying it will get better when you go live.  #magento #caching	magento	magento
. @winecountrydog  maybe you`ll get a lot of new euphorised crazy meezer-furriends! happy-paw-lucky! #cat-nip	cat	Cat	cat
Excited about #ATB tomorrow at Pasha!!!!!!!  Wooo! Will be rollin with cane though.  #nyc hahaha	ATB	ATB
its been 3 minutes since I've seen an earthquake tweet. I'm starting to miss that meme  #earthquake #hawthorn #notreally	hawthorn	Hawthorn
#nhlawards: James Norris Memorial Trophy goes to Zdeno Chara. Sorry, Greenie.	nhlawards	NHL awards
@mwangbickler I was part of the first graduating class of Windsor.... Not far away.... I may have to miss some of the Sat fun  #WBC09	WBC09	WBC 09
#s1e6 LOSTIvewatched the series a lot of times, andIm a fan of. Read that a lot too.  Memory is good when exercised. = ...	s1e6	s1 e6
Oh the life of a #headfi 'r.. one pair of cans are gone, only for me to lust after another. http://is.gd/LQvU, these costing $125 more.	headfi	head-fi
Have tasted my way thru Lon for a yr. Must go back to US on Sun  Would love to tweet London's deliciousness as a last hurrah! #tastefringe	tastefringe	taste fringe
#MCM tomorrow! Woo  Anyone who wants to meet up there, just send an @ my way!!	MCM	MCM
http://twitpic.com/6fsl4 - It was a sad night tonight #playoffbeard	playoffbeard	play off beard	playoff beard
Air New Zealand staff have nothing to hide  http://ow.ly/7om2 #KF #marketing	KF	K F	KF
P,K,S bulk food shop @greenstarcoop P clean more garage.K&M play with lincoln logs house. S sleeping baby.happy family.  #ithaca #unschool	ithaca	Ithaca	ithaca
@ZorkFox awesome! create a web ticket and ask for assistance with Clean Receipt, we'd be happy to assist your store  #co-op #pointofsale	co	co
Sad News for Punjabi Music Lovers. R.I.P punjabi singer Romy Gill who  died coz of heart attack today   #music #punjab	punjab	punjab
#eyeblasterday heading back to the office  thank you for the great day ooo @eyeblaster	eyeblasterday	eye blaster day	eyeblaster day
@mrstevenla That's because that stupid Twitter app sucks.  #ILOVEIRANBUTSCREWYOUADMINDASHLDASJAHEDAED	ILOVEIRANBUTSCREWYOUADMINDASHLDASJAHEDAED	I love Iran but screw you admin dashldasjahedaed	I love Iran but screw you admin Dashldas Jahedaed
@anninaustin We'll definitely take care of our Austin followers  #extract	extract	extract
@DAVID_LYNCH Just for the record, thanks for making #BlueVelvet. I'm seeing a midnight show tonight, and am ecstatic. Cheers	BlueVelvet	Blue Velvet
BB: @JoeSmithKGW is also down with the Bellagio "camping." He is pestering me now-- asking-- why can't #dawnpatrol eat SUN CHIPS! #NoJoe	NoJoe	No Joe
#I am really #bored #so I decided to do some #excessivehashtagusage ing. #it #is #fun but not there's not as #syrup as #waffles ...  #3d	excessivehashtagusage	excessive hashtag usage
#Mac restarted  was not sleeping after upgrading #xcode or probably messing with airport config for #iPhone #tethering  any idea why?	xcode	Xcode
I got my very first /. mod points today! Five of them. They were gone in a minute  #slashdot #geekpride #moremoremore	moremoremore	more more more
At #Red Cross recruitment day. Bit of poor turn out	Red	red
Can't make the #tuesdaytweetup tonight as I'm working til 8	tuesdaytweetup	Tuesday Tweetup	Tuesday tweetup
#worstfeeling - not being home when you sick	worstfeeling	worst feeling
#idontlikewhen PPL TALK ABT OTHER PPL KIDS...ALL CHILDREN ARE PRECIOUS	idontlikewhen	I don't like when	i don't like when
Stealing attempt leaves two stranted on base - end of 1st inning, ROC 1 - Clippers 0.  #cclip	cclip	cclip
i'm on the http://wefollow.com twitter dir under #potter #writer #historian but wonder if I should change the last to #intlwomanofmystery	intlwomanofmystery	intl woman of mystery
G'morning.... #freebleudavinci I copper this Thin Mags a minute ago!! Owwwww now I wanna try that vibrating ring. Damn I'm horny	freebleudavinci	free bleu da vinci
@tommcfly Can people still vote? Cuz when ever I go on it, it won't let me do anything.  #mcflyinamerica	mcflyinamerica	Mcfly In America	McFly In America	mcfly in america
Wish I could go to the Keynote at GDC tomorrow   #GDCCanada #GDC	GDC	GDC
#customer #goodservice Dominion Memorial Market http://bit.ly/11p3L9  @jwpeddle	goodservice	good service
Just left PT. I get to wear two shoes (yes, real shoes!) for short periods around the house this weekend  #gettingbetter	gettingbetter	getting better
@NickiLaycoax that #godin is a master at simplifying complex business issues AND a master at writing short books at regular prices.	godin	Godin	godin
I did the dishes and I'm now on a train to Newcastle. Have to leave #nontweetinggirlfriend behind for 2 weeks, which is always a bit sad	nontweetinggirlfriend	non tweeting girlfriend	non-tweeting girlfriend
IE is jacked on @assieheather's machine. Blessing in disguise? Should I even try to troubleshoot?  #chrome #firefox #safari	safari	safari
#dabook chapter one finished 10 days prior to schedule. wow!	dabook	dabook
First full week over for #GlobalizeMe. Very busy indeed but quite fun in a masochistic way  Check us for #translation #BPO #offshoring.	GlobalizeMe	globalize me
Nadia is gonna be mad... I'm running late for #GocStock... and if it rains it's gonna destroy my swishy hair	GocStock	Goc Stock	GocStock
Would the crash have corrupted my game save? It's not loading at all, even after restarting the system.  #fail #ps3 (via @digitaltempest)	ps3	ps3
SIMS ! #thesims3 !	thesims3	the sims 3
#TechNight has a Google Group now to discuss what we should do in next technight, interested can join & suggest ideas  http://is.gd/AKwa	TechNight	Tech Night
#imightbethereincarnationofstalin http://i40.tinypic.com/28gtjs6.jpg	imightbethereincarnationofstalin	I might be there incarnation of stalin	I might be the reincarnation of stalin
@waynelwarren this time its not my robot!  and see, we are in a new month  happy June  #june	june	June
@markvidovich as mark hurd would say.  #mydatahero #datagoodness #datadatadata	mydatahero	my data hero	MY DATA HERO
I am officially afraid of #Twinity. Granted, I was also afraid of #SecondLife the first time as well.  Someone tell me how Twinity is good	Twinity	Twinity
I couldn't go to #velocityconf  so I spent all day hacking on #puppet and redoing my nagios module. data abstraction FTW!	velocityconf	Velocity Conf	velocity conf
Didn't make it to #yycgno  My brother unexpectedly came into town for a visit. Sorry ladies, I had good intentions.	yycgno	yycgno
Ugh, this kid on the mound for the #Orioles is looking good tonight.  #Mets	Orioles	Orioles
@Addicted2Golf Can't wait to hear what U found, Blaine. We love demo day! It's like speed dating for #golfers.  http://golftwitt.com/DD2	golfers	golfers
#random fact: im black,cuban,puertorican ; buh im mainly black  nobody knows that lol.	random	random
Why no PC love? I'd buy it in an instant if I could  #e3bl	e3bl	e3bl
@_Fabby it looks like it was more of the bodyguards fault/lack of security   #RespectRobPattinson	RespectRobPattinson	respect rob pattinson	respect Rob Pattinson
I've been playing around with my Canon S3 IS and #chdk. Now to pop the card out, and clone it across all my memory cards.	chdk	chdk
#Volvicchallenge Tesco dropped off my 14 bottles today  Props for doing so on a Bank Holiday	Volvicchallenge	Volvic challenge
Whoa! "http://Hunch.com is now launched!" (via @Caterina, congrats  #hunch (via @davemcclure)	hunch	hunch	Hunch
'Prince Caspian' was sweet, and the DVD audio commentary funny. I started listening to it, but 5hrs of movies is too much. #whiplash #ACC	ACC	ACC
That's it for tweets. Battery almost dead   #dci	dci	dci
@Glasgowlassy @karen230683 @chappers67 Oh no not the stroking #pussies topic - il never get in ma bath now!! LOL	pussies	pussies
@justex07 boo  I think I might make it to #CaaM !	CaaM	CaaM
Webcams Hoepfner Burgfest in #Karlsruhe: Automatic reload #fail http://bit.ly/Vdtvf	Karlsruhe	Karlsruhe	karlsruhe
@aycaat Greetings! Lets start using the #O2fail then! Defacto screen indeed!	O2fail	O2 fail	O2fail
Was sad to discover that the latest version of #bidule on PC does not support columns in the UI like the latest mac version	bidule	bidule
All of my favorite Anchormen are retiring. First Jim Nunn and now Don Newman?!   --- #CBC	CBC	CBC
No cupcake in the Netherlands yet.  #g1 #android #cupcake #tmobile	android	android
No! My #iPod is all filled up! No more space for music  Damn 35,000 song! haha!	iPod	iPod	ipod
@froggie775 I'll be one of your "groovy guys" any time, shortie short  #photofollows	photofollows	photo follows
Still no #beejiveim 3.0 in the app store	beejiveim	beejiveim	BeejiveIM	beejive im
@bydls I am sorry to hear that  I understand refusing to stay. If you ever want to chat, I'm here  #spoonie	spoonie	spoonie
@pjozefak nice  #original #copy	original	original
The #dog has fleas - even though he's on Vectra 3-D.  Any suggestions?  This sucks	dog	dog
OmniFocus might be a too complex for my normal usage. thinking about switching to Things but my trail expired already  #things #omnifocus	things	things
@dahowlett unbelievable. annoyed as no choice for destination where family lives. normal airlines not flying there  #oripoff	oripoff	o ripoff
Hmmmm #NoPantsFriday sounds like a good idea	NoPantsFriday	no pants friday	No Pants Friday
@corbthfrog Shoot.  What would you like? Genre doesn't matter to me, I'm a non-discriminatory ringtone maker. #equalopportunity	equalopportunity	equal opportunity
#recomendo - The Twilight Sad - bem meu estilo , bem meu momento	recomendo	recomendo
@blambar You don't have to jealous. I have to send it back after making a video review about it.  #APC40	APC40	APC 40
#imguiltyof arguing just because i feel like it.	imguiltyof	I'm guilty of
oh ho really now!  instead of #YHK we have #BST ---> Britney Sex Tape	YHK	YHK
@Nellyxox im a nelly fangirl and im proud  yay #nellyspenguins	nellyspenguins	nellys penguins
Spending far too much time on yet another Sunny Saturday sending endless emails trying to get this #schome chapter finished....	schome	sc home
#TEDIndia apps opened yesterday btw & they were supposed to announce #TEDGlobal Fellows ysterday,TEDGloobal Fellows anncement on 27 now	TEDGlobal	TED Global	TEDGlobal
@TheRootBuzz has me thinking i have poor twitter etiquette  r friendships and loyalties being lost over who follows who? #juneteenth	juneteenth	june teenth	juneteenth	Juneteenth
@enobytes  awesome! Thank You! I may yet overcome my southern roots  and dialect.   #yeahprobablynot #heehaw  #dukesofhazard	heehaw	hee haw
Just saw the #neda video...wish I hadn't. Jesus christ......no words.  (via @notgoth007) #iranelection	neda	neda
@twitter in either case I appreciate the reduction in spam that I receive. #thumbsup	thumbsup	thumbs up
#Snaptu just went down for #maintenance. I hate tweeting from m.twitter.com!	Snaptu	Snaptu	snaptu
Ate garden greens, piece of chicken marsala with artichoke, a small slice of foccacia and a mini-brownie #lunchtimerollcall Hungry again	lunchtimerollcall	lunchtime roll call	lunch-time roll call	lunch time roll call
just seen the schedule...Sports Center (#ESPN) is on in less than 30minutes. then another one afterwards, might have to miss Jimmy Fallon	ESPN	ESPN
Rt@BritishPunk: #wacksex will: make u just plain mad	wacksex	wack sex
Real gullywasher in downtown #Gainesville. Always hate to see all that runoff going into Hogtown Creek. Sheet flow =	Gainesville	Gainesville
In fact, I feel she isn't very empathetic to us men    #tcot #sgp #scotus	scotus	SCOTUS
guys n gals use the hashtag #notwitterspam -- get enough people to use the hashtag so it becomes a topic.	notwitterspam	no twitter spam
Way to go FSU Baseball  #chokeeveryyear #canteverwinwhenitmatter #makesmesad	chokeeveryyear	choke every year
@zzzValzzz Sales are #goodnews ! We should celebrate every1  Wishing u  a wonderful time 2 rest of yur day. I'm rushing off to teach soon	goodnews	good news
@DubarryMcfly does that mean whats up? im just watching tv  you? #wangtitwank xx	wangtitwank	Wang Tit Wank
@segalovich ? ????? ???-???? ??????????? ?????  #kubok	kubok	kubok
#mlbtv #fox why are you making me watch a 16-2 game when there's a a rivalry game, split by 1 run, *you're broadcasting live* elsewhere?	fox	fox	Fox
This is AWESOME http://bit.ly/nk4EX  #Rajnikant #SouthIndia FTW Brazilians love it	Rajnikant	Rajnikant
Just saw new Avatar: The Last Airbender teaser trailer...there is no way this will be anything other than TRAGIC *sob*  #racefail #avatar	racefail	race fail
youtwitface  #youtwitface #YouTwitFace	youtwitface	youtwitface	you twit face
I mentioned it before, but scrolling through long manpages in the Terminal app without PageUp/PageDown is hell  #MacBook	MacBook	MacBook
Chuck's got a date! And first ever AWESOME! line. Jet playing in the background.  #Chuckmemondays	Chuckmemondays	chuck me mondays
@MzzChoclate well then i have to cut it short. Hmm...  na better a wig then  #badhairday	badhairday	bad hair day
@Fozzie_Bear That sounds furrylishious!! It's a deal! *grabs my lint gathering basket, hums softly and saunters to the #twitterpub*	twitterpub	Twitter pub
@deon @ariefr yang jadi eo-nya yang teriak FIRE IN THE HOLE duluan  #csTU	csTU	CS TU
Thanks to everyone that participated.  I'm off for my regular post #freestufffriday lay down	freestufffriday	free stuff friday	free stuff Friday
I honestly believe that Game Designers love making complicated formulas to torment me  #gamedesign #iphonedev #gameproducer	gamedesign	game design
Oh, my luck.  My name is the cut-off line, meaning No Pre for me but I'm waiting here in case someone leaves. #prelaunch #sadness	sadness	sadness
yes #eventbrite is down for me too - just when I needed to send link out for some bookings	eventbrite	Eventbrite
@stoweboyd I couldn't make it to NYC  But my CTO @echarles will be there. Supporting #microsyntax ! (@Ross talked me into geoslash too ;)	microsyntax	microsyntax
oh no  toffee's come on!  #Everton	Everton	Everton
Congrats, RnR #Marathon folks! Be sure to use your coupon for BODY WORLDS discounts. See the muscles, organs, and bones you just worked	Marathon	Marathon
Hey @officialtila !!!!I LOVE CHEESECAKE  I WANT A SOME!  (#TilaTequilaLive live > http://ustre.am/3v2f)	TilaTequilaLive	Tila Tequila Live
@yolimir oh, this is probably gonna cost me an unfollow, but I've never read #Neuromancer,  should i run to barnes and noble tomorrow?	Neuromancer	Neuromancer
@ladkocb #Welcome!  Yes, it's kinda like Twitter, only better. ;) Feel free to read my post [no]: http://blogg.forteller.net/identica	Welcome	welcome	Welcome
So excited to go to church...#favoritedayoftheweek	favoritedayoftheweek	favorite day of the week
@TheEngTeacher good evening. Sorry, for a Sunday evening, #anagramsunday would do my head in	anagramsunday	anagram sunday
Nobody tweeting from Wildwood at the DCA show?  #dcacorps	dcacorps	dca corps	DCA corps
for Twitter singles, post a short singles ad followed by #TwitterDating and see what response you get. Spread the word!	TwitterDating	Twitter Dating	Twitter dating
Anyone with sites using Protx found to be broken today? Error 5051 - can't find any reference to it in online documentation  #protx	protx	Protx
Damn idiots digging a trench by our house, managed to cut the cable for internet  No #Wimp or anything... I wan't my internets!	Wimp	Wimp	wimp
Ugh! #FUQTWITTER for ruining my TwitPics. Anyways, I finished my monologue. I'm off to bed. Night.	FUQTWITTER	FUQ TWITTER
@GabrielleV I CAN! #obama is probably not the #Antichrist, but if he's not for Christ, he is the #antichrist  Matthew 12:30.	Antichrist	Anti christ	Antichrist
Friends! Hurry up and get to this ball!  #iwny #iwny09	iwny	IWNY
@ThePISTOL Alex, you drive me #FULLMOONCRAZY	FULLMOONCRAZY	full moon crazy	FULL MOON CRAZY
Have purring cat on my lap but need to go shopping  #crazycatlady	crazycatlady	crazy cat lady
OK, it's official. Not feeling well and NOT gonna make it out to #bnblv tonight.	bnblv	bnblv
Swine flu on Twitter!  #atchoink #failpig #swineflu #grippeporcine #porkfever #hamthrax #bacontherapy (URL: http://tinyurl.com/c7oc5f )	failpig	fail pig
@nijumohan Did you get your source registered..? I tried making one. Use source as millionclues and see what happens  #kukku	kukku	kukku
man I think the #neogaf assploded today for some reason.  Haven't been able to get on all day.	neogaf	neogaf	NeoGAF	Neogaf
all of us who have made the decision... http://andygroenink.blog.com  #EFCN	EFCN	EFCN
@chiphanna nice Diva lamp you've got on the top there  #filmgeek #directorofphotography	directorofphotography	director of photography
Just one an acution for a "5th element" #laserdisc, but missed the X-Files pilot from the same seller.	laserdisc	laserdisc	LaserDisc
If I want to enjoy #awp tomorrow, I think I should stay in bed till saturday 7 PM	awp	awp	AWP
@ctcash @buildingateam @diabetescure @chocolatetweet = Thanks for spreading the word for #Diabetes in #Spain http://bit.ly/Ug7aS	Spain	Spain
@CoachKathleen brrrr! Chilly!!! & I don't mean the Mexican food here in LA! (Not complaining  #HICA	HICA	HICA
@nakedlaughing ..just because Ceasar happened to "look" the scariest  #pitbull #bsl	pitbull	pit bull	pitbull
@doktorb #bbc have to at least feign impartiality hence the bnp get air time, why so much though now? Sensationalism journalism  #eu09	bbc	BBC	bbc	b b c
@coffeemaverick wow! i can smell the coffee coming off of this page!  thanks for the follow - i'm following you #MuchLove for coffee!	MuchLove	Much love
is heading to Beverly Hills to pick up my friend for Game 7 of the Lakers vs. Rockets! Go Lakers!!!  #NBA #Playoffs	Playoffs	playoffs
http://twitpic.com/6635c - #mrlaser with new batteries  #probablyillegal	mrlaser	Mr laser	mr laser	Mr. Laser
#FringeTO: in an internetless state.  The internet blackness inspired this for you...  http://bit.ly/6FIeP	FringeTO	Fringe TO
Suddenly the proprietary database on google app engine doesn't sound that unattractive  #partially-in-jest	partially	partially
Wow, #Rockbox really is a nice piece of GPL'ed software	Rockbox	Rock box	Rockbox
@iusher yes, you should upload those pictures!   #tmm09	tmm09	tmm09	tmm 09
@Shegotbaggage I would say the G1. I have the #Behold and I'm def thinking of going back to my Blackberry just three months in. Behold =	Behold	Behold
@eMxyzptlk renamed it to #TwitterFlu haha  and deal no cures here haha	TwitterFlu	Twitter Flu
http://twitpic.com/7q2du - Angelina Jolie gives remarks at World Refugee Day #UNHCR FYI she did not adopt me	UNHCR	UNHCR
Off to get #geocaches... maybe get to 100? Check in on the Lemonheads @ geocaching.com l8r to find out!	geocaches	geocaches	Geocaches
@kathleenhessert I won't be at tweetup - working at #NACDA reg!  - but doing what I can to spread the word	NACDA	NACDA
@kopigao thanks for the heads up regarding #kuote!  haha	kuote	Kuote
Fabulous Friday Finds... http://blogspot.twi.bz/yb ... my Cape Cod style  bracelet is among some AWESOME company. Thanks Miss Kim!  #UWIB	UWIB	uwib
@Mommykins41 @Minerveca @justagurl09 Thanks  #twittourage	twittourage	twit tourage
@Kiamba Oiyayee! just hang in there... #Furahiday will be with you shortly	Furahiday	Furahiday
Pakistan : The land of mis-fielding and dropped catches #Cricket #WCT20 P.S: Am not a racist	Cricket	cricket
#followthischick @Crimzon_Rayne  she's awesome, she's a gamer, and you know what? She's my love    FOLLOW HER NOW!!!	followthischick	follow this chick
It's JR. FRIDAY everybody!  Get excited  #jrfriday (via @hooshy) HEEEEEEEEELLLLLLLLLLLLLLLSSSSSSSSSSSSS YEEEEEEEEEAAAAAAAAAAHHHHHH!!!!!!!!	jrfriday	Jr. friday	Jr friday	jr Friday
@moryan Michael Rosenbaum as Satan!      #Supernatural	Supernatural	Supernatural
I'm kind of depressed that the #meerkats haven't event made an impact. I do love a good meerkat	meerkats	Meerkats	meerkats
*sob*. #Twitterific free is fixed, but Premium still == teh dead	Twitterific	Twitterific
Great! #mrTweet has added a "lastupdate" field! Finally	mrTweet	mr Tweet	Mr. Tweet	Mr Tweet
Yes! Second Mass Effect DLC (for original game) is coming!  http://tinyurl.com/qppz77 @biofeed #masseffect2 #E3 #Bioware	masseffect2	mass effect 2
@lawschoolninja Apple isn't letting anyone deliver them until Friday so they are holding them  #fml #fail #violence	violence	violence
I wanna go home,but I don't wanna go to work  sadly work is the 1st thing I have to do after I land. #Confessions #of #a #corporate #slave	a	a
Finished with #Speedminton for today. What a fun ...	Speedminton	Speedminton
I am a #Lostafarian. I smoke weed and watch "LOST"!!! NOT!!	Lostafarian	Lostafarian
Ok totally out of the loop here #idontunderstand when #whenItypewitha# what it #means   o.O	whenItypewitha	when i type with a	when I type with a
@GeoffPeterson anytime  ps - how was #socialrecruiting yesterday at google headquarters?	socialrecruiting	social recruiting
felling bummed about being lonely  no one seems to understand.  #inlovew/lacee	inlovew	in lovew	in love w
Going out tonight is canceled...  i'm really disappointed. Only crap partys in DD. #Dresden #Party	Dresden	Dresden
I am so freakin sore today! My personal trainer earned her $$$ last night.  Hoping I can move around today  #pain #fitness #ouch	ouch	ouch
I really like #bing - note the top organic result: http://bit.ly/DDb6C - 1-10 of 456,000,000 - take that OT  (via @surajkika)	bing	bing
@DDubie add #rsac to your RSA news and tweeple can follow along.	rsac	RSAC	rsac
@fkalseth #ndc2009, #Resharper and #iphone3 this week -- Oh my!	Resharper	Resharper
Got my Moo MiniCards (no holder) the image is not how I set it on the website no tel number on website, contact form 404's  #moo #mincards	moo	moo	Moo
@chrismingryan Facebook is utter crap while Twitter is quite useful.   #FBVSTWITTER	FBVSTWITTER	Fb vs Twitter	FB VS TWITTER	FB VS. TWITTER
Police ~ to Protect & Serve, or history takers and CSI's, #Choice #HOA  help #InsideEdition	Choice	Choice
#computerarts Nice, people who don't know can just copy it ;)  Great contest! Pick me!	computerarts	computer arts
See... I'll start a new with not "Who is John Galt?" But "Where is H.G. Wells?" #CACHIKS trendsetting once again.	CACHIKS	cachiks
@tb78 Haha. No!  Take a pic of you in white socks and flipflops..go on,pleeeeeeeeeease. #footfetish#lovewhitesocks	lovewhitesocks	love white socks
Hey hey hey its a #Beautifulday  Have a great day all	Beautifulday	Beautiful Day	beautiful day
@bsalley thanks. I will be contacting soon looking into the possibility of our coming and visiting you.  #paradise	paradise	paradise
Heading off to #piedmontpark.	piedmontpark	piedmont park
@matidumi #twinpeaks rocks. Welcome aboard	twinpeaks	Twin Peaks
Compost is Awesome #3hotwords Never Underestimate Bioremediation #futuresummit and goodnight  #TWISI	TWISI	TWISI	twisi
just for mathias : #squarepsace	squarepsace	squarepsace
@zoyn lol...this is going to be a great game...i can feel it!   Great series so far don't you agree? #pens #nhl #wings #nhlplayoffs	nhlplayoffs	nhl playoffs	NHL playoffs
@SarahWV hehe indeed it is, I actually nearly changed my bio to just 'Don't Panic' but I wanted to keep in the #freehugs	freehugs	free hugs
Can't wait for Japan Day tomorrow! Last year was great. So will this year, although, I'll be missing my partner in crime.  #japanday	japanday	Japan day	japan day
20 for a cover is ridiculous. Is someone listening? Charlotte you are making a bad impression. Night life takes another loss.  #op2009	op2009	op 2009
